id,time,pop
9,1.5718252139001236,1466
9,3.642612477612174,892
9,5.883559777340426,718
9,8.233943412977805,604
9,10.411997985216162,564
9,12.857919734605517,498
9,15.419917741122715,448
9,17.69994327510877,436
9,20.225013190931655,402
9,23.02833089314656,378
9,25.33361494257089,370
9,27.799569436045385,352
9,30.564752220197263,346
9,32.825312265049035,322
9,35.090493409945914,332
9,37.48069609766288,316
9,40.06624855927621,276
9,42.660540716245904,282
9,45.480128308461296,266
9,48.050519370364235,272
9,50.92267698203643,256
9,53.367519371520736,260
9,55.68835240056369,258
9,58.49058807034243,238
9,60.74997105864419,242
9,62.87504999182814,244
9,65.44307691541088,228
9,68.21882968817677,214
9,70.70798074510077,204
9,73.70037823894069,194
9,75.91785064178778,210
9,78.50838936009232,186
9,81.03686874677729,192
9,83.68526943207353,182
9,86.25028057991567,188
9,88.56903500752271,188
9,91.19729171612862,188
9,93.91845659248287,166
9,96.12282830446557,162
9,98.34938486373957,178
9,100.75216568739948,164
9,102.90896525837205,152
9,105.64328692305436,152
9,108.45246300661954,138
9,111.1327423957766,136
9,113.72045685197813,132
9,115.95627949822534,128
9,118.08748062939955,126
9,120.59169052462849,118
9,123.91939475378723,106
9,126.46602772418129,96
9,129.52346503047607,94
9,132.37439982253287,104
9,135.3296299361458,104
9,137.6349678105138,102
9,140.13688890527962,94
9,142.54796719880872,88
9,145.8590905786053,84
9,148.22355470968674,94
9,151.72555427715835,72
9,153.7017953754976,82
9,156.12106686991592,86
9,158.97075777530074,68
9,161.45706036767675,70
9,163.80082092861272,74
9,166.67874680592692,72
9,168.99561359499708,70
9,171.53635017659045,70
9,174.72673198494962,70
9,176.71728429506015,70
9,179.3679029767236,70
9,182.16368646574543,70
9,184.1879973203758,66
9,188.18638066395218,58
9,190.59048436606417,68
9,193.61376604782734,62
9,195.9221168520661,74
9,198.06933567280302,64
9,200.8056321654225,50
9,203.4368936709276,48
9,206.6460943091881,48
9,208.66904602426192,54
9,210.99694903952454,50
9,213.25152352841252,52
9,215.61643951111157,50
9,217.74070695032844,40
9,220.7426058541677,36
9,223.39462089866439,40
9,225.71959733756873,36
9,227.6869104754528,40
9,231.54618635334393,32
9,234.59908762092772,32
9,237.87347232335978,28
9,239.93795351169868,28
9,243.15258410528492,28
