id,time,pop
8,1.3254904437859716,972
8,3.519820391559553,557
8,5.7449242682934285,439
8,8.252069420579453,376
8,10.807133499811604,354
8,13.043112863318832,332
8,15.628291006226082,310
8,18.146239185456217,292
8,20.584863758210027,266
8,22.942193642791235,268
8,25.47334471846657,248
8,28.429637436067317,240
8,30.92922727399314,246
8,33.43386510202255,236
8,35.90860002534107,222
8,38.3957135895205,206
8,40.85821835076884,204
8,43.70781833739684,174
8,47.02145402747729,178
8,49.2812156219299,194
8,51.4608104575346,194
8,54.23040414628759,182
8,56.1735978103161,174
8,58.89927748647345,170
8,61.421302628049474,164
8,63.957883864297514,182
8,66.10595160844888,174
8,68.36278164818361,180
8,70.43050632457712,172
8,73.24007213338972,150
8,75.9648724497281,162
8,78.45043820307262,146
8,80.6314694292465,140
8,83.66202793605844,134
8,85.98437600961215,124
8,88.4695323212466,123
8,91.39263179525146,114
8,94.17339962458678,110
8,96.40677004026905,114
8,98.59759865110337,108
8,100.9874268881426,112
8,103.48333215469441,110
8,107.07399309579156,98
8,109.56941543839721,96
8,112.16918583631279,114
8,114.64762284968336,112
8,116.85083279530593,116
8,119.42927698495201,100
8,122.56814295765183,92
8,124.9183923233426,102
8,127.53946010541351,92
8,129.61886289836218,98
8,132.4742244452507,102
8,135.0508955299411,90
8,137.54885782087788,78
8,139.81454389170725,78
8,142.40943139606733,72
8,144.70280161164345,70
8,147.09907374954452,74
8,149.77695653761643,66
8,152.42250893667827,74
8,154.47484969232536,66
8,157.11938694741545,76
8,159.53686260146287,66
8,162.26707729422142,70
8,165.49461394107897,62
8,168.13870839845066,60
8,170.96801522631364,58
8,173.02801104630686,56
8,175.26107145265124,70
8,177.2482647934575,68
8,179.19197795512767,64
8,182.89966093910866,56
8,185.28705270872837,56
8,187.65838544062828,54
8,189.4568668541104,56
8,191.8785656344003,56
8,194.7760834672951,50
8,197.9794273314645,50
8,200.96745850718938,38
8,203.05257375212554,38
8,205.11649288339888,46
8,208.14891995719802,42
8,209.94450549031546,42
8,212.31135719854163,40
8,214.95112967943336,36
8,217.6050498611142,38
8,220.19071793188488,36
8,223.45175637791155,34
8,225.93064851739726,36
8,228.48901635898844,38
8,231.16331493538573,40
8,234.51500302767656,36
8,237.24390727272907,38
8,240.352508151773,34
8,241.6513619281841,40
8,244.89391868220326,36
8,247.17843344540154,36
8,249.01274199566853,34
8,252.3409963730804,32
8,255.28037191281362,28
8,258.2638049412995,28
8,261.51417690554337,24
8,263.0139223802098,32
8,265.9847111682815,32
8,267.708966332249,28
8,270.3290361516651,32
8,272.40453173212404,26
8,275.53592522052276,30
8,277.8104279795616,26
8,280.37174777255984,24
8,283.6690436476894,26
8,286.23047601553225,28
8,288.72331788636825,28
8,290.84919222877494,28
8,292.5871116618803,28
8,294.72128601876625,30
8,296.3609791747126,36
8,298.57436647668237,30
8,300.91213619718843,28
8,303.3579722534327,22
8,306.03140381636337,26
8,308.0850238483291,30
8,310.894094882162,32
8,312.55215603100856,22
8,314.88913477551085,24
8,317.6122483456068,26
8,320.7312715805057,26
8,322.69136421043135,22
8,325.4148815238515,24
8,327.6500648302145,24
8,329.8490101056395,24
8,332.74559381806574,14
8,335.48536015251,14
8,338.34973732322965,18
8,344.33917254677806,16
8,346.9048480088105,12
8,350.1514288065275,14
8,351.8821606691686,16
8,354.32249499176083,16
8,357.1363884168111,14
8,360.701626678454,16
8,362.67700565253375,18
8,364.74834627422763,18
8,366.8900163414066,20
8,369.7342850434761,14
8,372.3800557308479,18
8,374.3691671826602,18
8,376.0508908065718,20
8,380.2617179781755,14
8,382.9205428296711,12
8,384.4233419884742,12
8,387.7601924776473,8
8,392.04963889550163,10
8,394.1591446964105,10
8,397.2397506216135,10
8,400.2289711455005,12
8,403.7218100641893,10
8,407.14331285265644,10
8,408.99523856206423,10
8,410.50707606891575,12
8,413.58398246668105,10
8,415.39674528732087,12
8,418.2561443432606,14
8,421.284886581879,8
8,424.2056614479667,12
8,426.253205277002,14
8,428.57865232309456,12
8,431.80302862501424,8
8,435.4759780529219,8
8,437.2948216371679,8
8,439.168236679788,12
8,444.01782349264954,12
8,447.08545509462124,10
8,449.24871569117556,10
8,451.05917126229264,10
8,452.8296422886417,8
8,455.53297224098776,10
8,457.0447435726172,12
8,460.3780033993989,12
8,461.56672579946485,12
8,464.0605643713865,10
